"State","Year","Avg ASC-1 State Rate","Median ASC-1 State Rate","Avg ASC-2 State Rate","Median ASC-2 State Rate","Avg ASC-3 State Rate","Median ASC-3 State Rate","Avg ASC-4 State Rate","Median ASC-4 State Rate","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
PA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.30
PR,2023,0.00,0.00,0.01,0.02,0.01,0.02,0.03,0.03,N/A (5),N/A (5),N/A (5),N/A (5),0,2,0,0,4.19,49.42,0.73,0.67,0,3,0,7,0,2,0,4,0,0,0,8,N/A (5)
PR,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.90
RI,2023,0.00,0.00,0.03,0.04,0.00,0.00,0.09,0.08,91.23,88.71,100.00,100.00,0,7,0,0,99.31,98.81,0.20,0.62,0,3,0,1,0,1,0,1,0,2,0,3,N/A (5)
RI,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),100.00
SC,2023,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.06,74.71,95.65,100.00,100.00,1,28,1,6,99.44,100.00,0.18,0.13,0,23,0,17,0,9,0,9,0,21,0,29,N/A (5)
SC,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.40
SD,2023,0.00,0.00,0.03,0.01,0.01,0.00,0.06,0.05,81.29,89.79,N/A (5),N/A (5),0,4,0,1,86.42,91.27,0.19,0.09,0,1,0,5,0,1,0,1,0,4,0,6,N/A (5)
SD,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),76.90
TN,2023,0.00,0.00,0.02,0.01,0.00,0.00,0.09,0.08,93.77,95.75,93.84,95.86,0,42,0,10,84.59,100.00,0.25,0.15,0,44,0,22,1,11,0,10,0,37,0,48,N/A (5)
TN,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.60
TX,2023,0.00,0.00,0.02,0.01,0.00,0.00,0.08,0.07,79.11,89.89,99.97,100.00,0,160,1,24,93.66,100.00,0.23,0.20,0,133,0,91,0,39,0,47,0,100,0,155,N/A (5)
TX,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.70
UT,2023,0.00,0.00,0.02,0.01,0.01,0.00,0.09,0.06,26.13,97.67,N/A (5),N/A (5),0,14,0,1,84.40,99.94,0.25,0.20,0,24,0,9,0,8,0,7,0,12,0,21,N/A (5)
UT,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.60
VA,2023,0.00,0.00,0.01,0.00,0.00,0.00,0.12,0.10,76.34,95.35,100.00,100.00,0,16,0,2,96.09,100.00,0.21,0.21,0,32,0,10,0,15,1,10,0,35,0,11,N/A (5)
VA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.90
VI,2023,0.00,0.00,0.03,0.00,0.00,0.00,0.24,0.15,95.81,94.07,100.00,100.00,0,2,0,0,97.94,100.00,0.73,0.89,0,1,0,2,0,0,0,1,0,1,0,2,N/A (5)
VI,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.00
VT,2023,0.00,0.00,0.01,0.01,0.00,0.00,0.03,0.04,100.00,100.00,N/A (5),N/A (5),0,1,0,0,95.19,94.79,0.07,0.07,0,1,0,0,0,0,0,1,0,1,0,1,N/A (5)
VT,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.00
WA,2023,0.00,0.00,0.02,0.00,0.01,0.00,0.17,0.06,82.83,93.86,96.11,100.00,1,45,0,6,89.94,99.97,0.27,0.19,0,47,0,39,0,8,0,16,1,46,1,53,N/A (5)
WA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),77.70
WI,2023,0.00,0.00,0.02,0.00,0.00,0.00,0.08,0.08,92.30,95.06,N/A (5),N/A (5),0,24,0,2,97.96,99.20,0.19,0.13,0,29,0,16,0,6,0,8,0,12,0,32,N/A (5)
WI,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.70
WV,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,85.95,83.33,N/A (5),N/A (5),0,4,0,0,99.33,99.53,0.17,0.16,0,2,0,2,0,0,0,0,0,2,0,2,N/A (5)
WV,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.80
WY,2023,0.01,0.00,0.02,0.00,0.02,0.00,0.10,0.04,79.82,83.33,48.60,48.60,0,11,0,3,97.76,100.00,0.39,0.14,0,10,0,5,0,2,0,3,0,6,0,10,N/A (5)
WY,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.30
