"State","Year","Avg ASC-1 State Rate","Median ASC-1 State Rate","Avg ASC-2 State Rate","Median ASC-2 State Rate","Avg ASC-3 State Rate","Median ASC-3 State Rate","Avg ASC-4 State Rate","Median ASC-4 State Rate","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
KY,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.00
LA,2023,0.00,0.00,0.02,0.02,0.00,0.00,0.08,0.05,88.62,93.92,100.00,100.00,0,25,1,5,99.62,100.00,0.29,0.16,0,24,0,21,0,4,0,7,0,22,0,25,N/A (5)
LA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),82.70
MA,2023,0.00,0.00,0.02,0.01,0.00,0.00,0.11,0.08,73.27,89.13,79.46,100.00,0,21,0,0,94.91,99.95,0.37,0.34,0,14,0,6,0,5,0,1,0,14,0,16,N/A (5)
MA,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),96.20
MD,2023,0.00,0.00,0.03,0.00,0.01,0.00,0.10,0.06,52.12,88.03,12.14,50.00,0,62,0,9,78.64,98.67,0.44,0.33,0,66,0,86,0,33,0,28,1,67,0,106,N/A (5)
MD,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),88.90
ME,2023,0.00,0.00,0.02,0.00,0.01,0.00,0.09,0.06,91.42,91.42,N/A (5),N/A (5),0,1,0,0,39.55,95.07,0.28,0.23,0,5,0,0,0,0,0,1,0,3,0,10,N/A (5)
ME,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),97.70
MI,2023,0.00,0.00,0.02,0.00,0.01,0.00,0.09,0.07,83.60,94.87,100.00,100.00,0,38,0,3,99.11,100.00,0.28,0.20,0,47,0,22,0,12,0,11,0,28,0,47,N/A (5)
MI,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.40
MN,2023,0.01,0.00,0.02,0.01,0.00,0.00,0.11,0.08,93.74,94.74,N/A (5),N/A (5),0,20,0,5,96.04,99.21,0.25,0.10,0,29,0,20,0,6,0,11,0,19,0,34,N/A (5)
MN,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.90
MO,2023,0.00,0.00,0.02,0.00,0.01,0.00,0.10,0.08,80.55,95.00,N/A (5),N/A (5),0,36,0,6,82.91,100.00,0.26,0.18,0,34,0,22,0,7,0,8,0,33,0,34,N/A (5)
MO,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.90
MS,2023,0.00,0.00,0.02,0.02,0.00,0.00,0.08,0.07,78.80,92.60,92.10,91.85,0,19,0,3,81.93,99.81,0.43,0.25,0,20,0,8,0,9,0,6,0,24,0,22,N/A (5)
MS,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.30
MT,2023,0.01,0.00,0.04,0.01,0.01,0.00,0.11,0.06,83.14,89.77,100.00,100.00,0,6,0,0,98.20,99.01,0.21,0.13,0,9,0,0,0,1,0,3,0,2,0,10,N/A (5)
MT,2023_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),76.90
NC,2023,0.00,0.00,0.02,0.01,0.00,0.00,0.09,0.07,88.56,94.50,88.54,88.54,1,81,0,7,98.42,100.00,0.22,0.24,0,41,0,7,0,7,1,13,0,31,0,32,N/A (5)
